Total number of tokens: 108
ngram,count,frequency
be,4,0.037037037037037035
data,4,0.037037037037037035
use,4,0.037037037037037035
csv,4,0.037037037037037035
for,4,0.037037037037037035
used,4,0.037037037037037035
java.,4,0.037037037037037035
that,4,0.037037037037037035
can,4,0.037037037037037035
along,4,0.037037037037037035
are,4,0.037037037037037035
and,4,0.037037037037037035
popularity,3,0.027777777777777776
of,4,0.037037037037037035
widespread,4,0.037037037037037035
a,4,0.037037037037037035
opularity,1,0.009259259259259259
format,4,0.037037037037037035
libraries,4,0.037037037037037035
powning,1,0.009259259259259259
many,4,0.037037037037037035
the,4,0.037037037037037035
with,4,0.037037037037037035
as,4,0.037037037037037035
transfer,4,0.037037037037037035
parser,4,0.037037037037037035
owning,3,0.027777777777777776
there,4,0.037037037037037035
to,4,0.037037037037037035
